ncm,ncm_dot,descrição,categorias/0,categorias/1,categorias/2
01064100,0106.41.00,abelhas,0106,01064,010641
01064900,0106.49.00,outros,0106,01064,010649
01069000,0106.90.00,outros,0106,01069,010690
02011000,0201.10.00,carcaças e meiascarcaças,0201,02011,020110
02012010,0201.20.10,quartos dianteiros,0201,02012,020120
02012020,0201.20.20,quartos traseiros,0201,02012,020120
02012090,0201.20.90,outras,0201,02012,020120
02013000,0201.30.00,desossadas,0201,02013,020130
02021000,0202.10.00,carcaças e meiascarcaças,0202,02021,020210
02022010,0202.20.10,quartos dianteiros,0202,02022,020220
02022020,0202.20.20,quartos traseiros,0202,02022,020220
02022090,0202.20.90,outras,0202,02022,020220
02023000,0202.30.00,desossadas,0202,02023,020230
02031100,0203.11.00,carcaças e meiascarcaças,0203,02031,020311
02031200,0203.12.00,pernas,0203,02031,020312
02031900,0203.19.00,outras,0203,02031,020319
02032100,0203.21.00,carcaças e meiascarcaças,0203,02032,020321
02032200,0203.22.00,pernas,0203,02032,020322
02032900,0203.29.00,outras,0203,02032,020329
02041000,0204.10.00,carcaças e meiascarcaças de cordeiro,0204,02041,020410
02042100,0204.21.00,carcaças e meiascarcaças,0204,02042,020421
02042200,0204.22.00,outras peças não desossadas,0204,02042,020422
02042300,0204.23.00,desossadas,0204,02042,020423
02043000,0204.30.00,carcaças e meiascarcaças de cordeiro,0204,02043,020430
02044100,0204.41.00,carcaças e meiascarcaças,0204,02044,020441
02044200,0204.42.00,outras peças não desossadas,0204,02044,020442
02044300,0204.43.00,desossadas,0204,02044,020443
02045000,0204.50.00,carnes de animais da espécie caprina,0204,02045,020450
02050000,0205.00.00,carnes de animais das espécies cavalar,0205,02050,020500
02061000,0206.10.00,da espécie bovina,0206,02061,020610
02062100,0206.21.00,línguas,0206,02062,020621
02062200,0206.22.00,fígados,0206,02062,020622
02062910,0206.29.10,rabos,0206,02062,020629
02062990,0206.29.90,outros,0206,02062,020629
02063000,0206.30.00,da espécie suína,0206,02063,020630
02064100,0206.41.00,fígados,0206,02064,020641
02064900,0206.49.00,outras,0206,02064,020649
02068000,0206.80.00,outras,0206,02068,020680
02069000,0206.90.00,outras,0206,02069,020690
02071100,0207.11.00,não cortadas em pedaços,0207,02071,020711
02071200,0207.12.00,não cortadas em pedaços,0207,02071,020712
02071300,0207.13.00,pedaços e miudezas,0207,02071,020713
02071400,0207.14.00,pedaços e miudezas,0207,02071,020714
02072400,0207.24.00,não cortadas em pedaços,0207,02072,020724
02072500,0207.25.00,não cortadas em pedaços,0207,02072,020725
02072600,0207.26.00,pedaços e miudezas,0207,02072,020726
02072700,0207.27.00,pedaços e miudezas,0207,02072,020727
02074100,0207.41.00,não cortadas em pedaços,0207,02074,020741
02074200,0207.42.00,não cortadas em pedaços,0207,02074,020742
02074300,0207.43.00,fígados gordos (foies gras),0207,02074,020743
02074400,0207.44.00,outras,0207,02074,020744
02074500,0207.45.00,outras,0207,02074,020745
02075100,0207.51.00,não cortadas em pedaços,0207,02075,020751
02075200,0207.52.00,não cortadas em pedaços,0207,02075,020752
02075300,0207.53.00,fígados gordos (foies gras),0207,02075,020753
02075400,0207.54.00,outras,0207,02075,020754
02075500,0207.55.00,outras,0207,02075,020755
02076000,0207.60.00,de galinhasd'angola (pintadas),0207,02076,020760
02081000,0208.10.00,de coelhos ou lebres,0208,02081,020810
02083000,0208.30.00,de primatas,0208,02083,020830
02084000,0208.40.00,de baleias,0208,02084,020840
02085000,0208.50.00,de répteis (incluindo as serpentes e as tartarugas marinhas),0208,02085,020850
02086000,0208.60.00,de camelos e outros camelídeos (camelidae),0208,02086,020860
02089000,0208.90.00,outras,0208,02089,020890
02091011,0209.10.11,fresco,0209,02091,020910
02091019,0209.10.19,outros,0209,02091,020910
02091021,0209.10.21,fresca,0209,02091,020910
02091029,0209.10.29,outras,0209,02091,020910
02099000,0209.90.00,outros,0209,02099,020990
02101100,0210.11.00,pernas,0210,02101,021011
02101200,0210.12.00,toucinhos entremeados (barrigas (entremeadas)*) e seus pedaços,0210,02101,021012
02101900,0210.19.00,outras,0210,02101,021019
02102000,0210.20.00,carnes da espécie bovina,0210,02102,021020
02109100,0210.91.00,de primatas,0210,02109,021091
02109200,0210.92.00,de baleias,0210,02109,021092
02109300,0210.93.00,de répteis (incluindo as serpentes e as tartarugas marinhas),0210,02109,021093
02109900,0210.99.00,outras,0210,02109,021099
03011110,0301.11.10,aruanã (osteoglossum bicirrhosum),0301,03011,030111
03011190,0301.11.90,outros,0301,03011,030111
03011900,0301.19.00,outros,0301,03011,030119
03019110,0301.91.10,para reprodução,0301,03019,030191
03019190,0301.91.90,outras,0301,03019,030191
03019210,0301.92.10,para reprodução,0301,03019,030192
03019290,0301.92.90,outras,0301,03019,030192
03019310,0301.93.10,para reprodução,0301,03019,030193
03019390,0301.93.90,outras,0301,03019,030193
03019410,0301.94.10,para reprodução,0301,03019,030194
03019490,0301.94.90,outras,0301,03019,030194
03019510,0301.95.10,para reprodução,0301,03019,030195
03019590,0301.95.90,outros,0301,03019,030195
03019911,0301.99.11,tilápias (tilapia spp.,0301,03019,030199
03019912,0301.99.12,esturjões (acipenser baerii,0301,03019,030199
03019919,0301.99.19,outros,0301,03019,030199
03019991,0301.99.91,tilápias (tilapia spp.,0301,03019,030199
03019992,0301.99.92,esturjões (acipenser baerii,0301,03019,030199
03019999,0301.99.99,outros,0301,03019,030199
03021100,0302.11.00,trutas (salmo trutta,0302,03021,030211
03021300,0302.13.00,salmõesdopacífico (oncorhynchus nerka,0302,03021,030213
03021400,0302.14.00,salmãodoatlântico (salmo salar) e salmãododanúbio (hucho hucho),0302,03021,030214
03021900,0302.19.00,outros,0302,03021,030219
03022100,0302.21.00,linguadosgigantes (alabotes*) (reinhardtius hippoglossoides,0302,03022,030221
03022200,0302.22.00,solha (pleuronectes platessa),0302,03022,030222
03022300,0302.23.00,linguados (solea spp.),0302,03022,030223
03022400,0302.24.00,pregado (psetta maxima),0302,03022,030224
03022900,0302.29.00,outros,0302,03022,030229
03023100,0302.31.00,albacorabranca (atum*) (thunnus alalunga),0302,03023,030231
03023200,0302.32.00,albacoralaje (atum*) (thunnus albacares),0302,03023,030232
03023300,0302.33.00,bonitolistrado (gaiado*),0302,03023,030233
03023400,0302.34.00,albacorabandolim (atum*) (thunnus obesus),0302,03023,030234
03023500,0302.35.00,atunsazuis (atuns*) (thunnus thynnus,0302,03023,030235
03023600,0302.36.00,atumazul do sul (atum*) (thunnus maccoyii),0302,03023,030236
03023900,0302.39.00,outros,0302,03023,030239
03024100,0302.41.00,arenques (clupea harengus,0302,03024,030241
03024210,0302.42.10,anchoita (engraulis anchoita),0302,03024,030242
03024290,0302.42.90,outros,0302,03024,030242
03024300,0302.43.00,sardinhas (sardina pilchardus,0302,03024,030243
03024400,0302.44.00,cavalinhas (sardas e cavalas*) (scomber scombrus,0302,03024,030244
03024500,0302.45.00,carapaus (trachurus spp.),0302,03024,030245
03024600,0302.46.00,bijupirá (cobia*) (rachycentron canadum),0302,03024,030246
03024700,0302.47.00,espadarte (xiphias gladius),0302,03024,030247
03024910,0302.49.10,espadins,0302,03024,030249
03024990,0302.49.90,outros,0302,03024,030249
03025100,0302.51.00,bacalhaudoatlântico (gadus morhua),0302,03025,030251
03025200,0302.52.00,haddock ou lubina (arinca*) (melanogrammus aeglefinus),0302,03025,030252
03025300,0302.53.00,saithe (escamudo*) (pollachius virens),0302,03025,030253
03025400,0302.54.00,merluzas (pescadas*) e abróteas (merluccius spp.,0302,03025,030254
03025500,0302.55.00,polacadoalasca (escamudodoalasca*) (theragra chalcogramma),0302,03025,030255
03025600,0302.56.00,verdinhos (micromesistius poutassou,0302,03025,030256
03025900,0302.59.00,outros,0302,03025,030259
03027100,0302.71.00,tilápias (oreochromis spp.),0302,03027,030271
03027210,0302.72.10,bagre americano (ictalurus punctatus),0302,03027,030272
03027290,0302.72.90,outros,0302,03027,030272
03027300,0302.73.00,carpas (cyprinus spp.,0302,03027,030273
03027400,0302.74.00,enguias (anguilla spp.),0302,03027,030274
03027900,0302.79.00,outros,0302,03027,030279
03028100,0302.81.00,cação e outros tubarões,0302,03028,030281
03028200,0302.82.00,raias (rajidae),0302,03028,030282
03028310,0302.83.10,merluza negra (dissostichus eleginoides),0302,03028,030283
03028320,0302.83.20,merluza antártica (dissostichus mawsoni),0302,03028,030283
03028400,0302.84.00,robalos (dicentrarchus spp.),0302,03028,030284
03028500,0302.85.00,esparídeos (sparidae),0302,03028,030285
03028910,0302.89.10,pargo (lutjanus purpureus),0302,03028,030289
03028921,0302.89.21,chernepoveiro (polyprion americanus),0302,03028,030289
03028922,0302.89.22,garoupas (acanthistius spp.),0302,03028,030289
03028923,0302.89.23,esturjão (acipenser baerii),0302,03028,030289
03028924,0302.89.24,peixesrei (atherina spp.),0302,03028,030289
03028931,0302.89.31,curimatãs (prochilodus spp.),0302,03028,030289
03028932,0302.89.32,tilápias (tilapia spp.,0302,03028,030289
03028933,0302.89.33,surubins (pseudoplatystoma spp.),0302,03028,030289
03028934,0302.89.34,traíra (hoplias malabaricus & h. cf. lacerdae),0302,03028,030289
03028935,0302.89.35,piaus (leporinus spp.),0302,03028,030289
03028936,0302.89.36,tainhas (mugil spp.),0302,03028,030289
03028937,0302.89.37,pirarucu (arapaima gigas),0302,03028,030289
03028938,0302.89.38,pescadas (cynoscion spp.),0302,03028,030289
03028941,0302.89.41,piramutaba (brachyplatystoma vaillantii),0302,03028,030289
03028942,0302.89.42,dourada (brachyplatystoma flavicans),0302,03028,030289
03028943,0302.89.43,pacu (piaractus mesopotamicus),0302,03028,030289
03028944,0302.89.44,tambaqui (colossoma macropomum),0302,03028,030289
03028945,0302.89.45,tambacu (híbrido de tambaqui e pacu),0302,03028,030289
03028990,0302.89.90,outros,0302,03028,030289
03029100,0302.91.00,fígados,0302,03029,030291
03029200,0302.92.00,barbatanas de tubarão,0302,03029,030292
03029900,0302.99.00,outros,0302,03029,030299
03031100,0303.11.00,salmãodopacífico (salmãovermelho) (oncorhynchus nerka),0303,03031,030311
03031200,0303.12.00,outros salmõesdopacífico (oncorhynchus gorbuscha,0303,03031,030312
03031300,0303.13.00,salmãodoatlântico (salmo salar) e salmãododanúbio (hucho hucho),0303,03031,030313
03031400,0303.14.00,trutas (salmo trutta,0303,03031,030314
03031900,0303.19.00,outros,0303,03031,030319
03032300,0303.23.00,tilápias (oreochromis spp.),0303,03032,030323
03032410,0303.24.10,bagre americano (ictalurus punctatus),0303,03032,030324
03032490,0303.24.90,outros,0303,03032,030324
03032500,0303.25.00,carpas (cyprinus spp.,0303,03032,030325
03032600,0303.26.00,enguias (anguilla spp.),0303,03032,030326
03032900,0303.29.00,outros,0303,03032,030329
03033100,0303.31.00,linguadosgigantes (alabotes*) (reinhardtius hippoglossoides,0303,03033,030331
03033200,0303.32.00,solha (pleuronectes platessa),0303,03033,030332
03033300,0303.33.00,linguados (solea spp.),0303,03033,030333
03033400,0303.34.00,pregado (psetta maxima),0303,03033,030334
03033900,0303.39.00,outros,0303,03033,030339
03034100,0303.41.00,albacorabranca (atum*) (thunnus alalunga),0303,03034,030341
03034200,0303.42.00,albacoralaje (atum*) (thunnus albacares),0303,03034,030342
03034300,0303.43.00,bonitolistrado (gaiado*),0303,03034,030343
03034400,0303.44.00,albacorabandolim (atum*) (thunnus obesus),0303,03034,030344
03034500,0303.45.00,atunsazuis (atuns*) (thunnus thynnus,0303,03034,030345
03034600,0303.46.00,atumazul do sul (atum*) (thunnus maccoyii),0303,03034,030346
03034900,0303.49.00,outros,0303,03034,030349
03035100,0303.51.00,arenques (clupea harengus,0303,03035,030351
03035300,0303.53.00,sardinhas (sardina pilchardus,0303,03035,030353
03035400,0303.54.00,cavalinhas (sardas e cavalas*) (scomber scombrus,0303,03035,030354
03035500,0303.55.00,carapaus (trachurus spp.),0303,03035,030355
03035600,0303.56.00,bijupirá (cobia*) (rachycentron canadum),0303,03035,030356
03035700,0303.57.00,espadarte (xiphias gladius),0303,03035,030357
03035910,0303.59.10,espadins,0303,03035,030359
03035920,0303.59.20,anchoita (engraulis anchoita),0303,03035,030359
03035990,0303.59.90,outros,0303,03035,030359
03036300,0303.63.00,bacalhaudoatlântico (gadus morhua),0303,03036,030363
03036400,0303.64.00,haddock ou lubina (arinca*) (melanogrammus aeglefinus),0303,03036,030364
03036500,0303.65.00,saithe (escamudo*) (pollachius virens),0303,03036,030365
03036600,0303.66.00,merluzas (pescadas*) e abróteas (merluccius spp.,0303,03036,030366
03036700,0303.67.00,polacadoalasca (escamudodoalasca*) (theragra chalcogramma),0303,03036,030367
03036800,0303.68.00,verdinhos (micromesistius poutassou,0303,03036,030368
03036910,0303.69.10,merluza rosada (macruronus magellanicus),0303,03036,030369
03036990,0303.69.90,outros,0303,03036,030369
03038111,0303.81.11,inteiro,0303,03038,030381
03038112,0303.81.12,eviscerado,0303,03038,030381
03038113,0303.81.13,em pedaços,0303,03038,030381
03038114,0303.81.14,em pedaços,0303,03038,030381
03038119,0303.81.19,outros,0303,03038,030381
03038190,0303.81.90,outros,0303,03038,030381
03038200,0303.82.00,raias (rajidae),0303,03038,030382
03038311,0303.83.11,evisceradas,0303,03038,030383
03038319,0303.83.19,outras,0303,03038,030383
03038321,0303.83.21,evisceradas,0303,03038,030383
03038329,0303.83.29,outras,0303,03038,030383
03038400,0303.84.00,robalos (dicentrarchus spp.),0303,03038,030384
03038910,0303.89.10,corvina (micropogonias furnieri),0303,03038,030389
03038920,0303.89.20,pescadas (cynoscion spp.),0303,03038,030389
03038932,0303.89.32,pargo (lutjanus purpureus),0303,03038,030389
03038933,0303.89.33,peixesapo (lophius gastrophysus),0303,03038,030389
03038941,0303.89.41,chernepoveiro (polyprion americanus),0303,03038,030389
03038942,0303.89.42,garoupas (acanthistius spp.),0303,03038,030389
03038943,0303.89.43,tainhas (mugil spp.),0303,03038,030389
03038944,0303.89.44,esturjões (acipenser baerii,0303,03038,030389
03038945,0303.89.45,peixesrei (atherina spp.),0303,03038,030389
03038946,0303.89.46,nototenias (patagonotothen spp.),0303,03038,030389
03038951,0303.89.51,curimatãs (prochilodus spp.),0303,03038,030389
03038952,0303.89.52,tilápias (tilapia spp.,0303,03038,030389
03038953,0303.89.53,surubins (pseudoplatystoma spp.),0303,03038,030389
03038954,0303.89.54,traíra (hoplias malabaricus & h. cf. lacerdae),0303,03038,030389
03038955,0303.89.55,piaus (leporinus spp.),0303,03038,030389
03038956,0303.89.56,pirarucu (arapaima gigas),0303,03038,030389
03038961,0303.89.61,piramutaba (brachyplatystoma vaillantii),0303,03038,030389
03038962,0303.89.62,dourada (brachyplatystoma flavicans),0303,03038,030389
03038963,0303.89.63,pacu (piaractus mesopotamicus),0303,03038,030389
03038964,0303.89.64,tambaqui (colossoma macropomum),0303,03038,030389
03038965,0303.89.65,tambacu (híbrido de tambaqui e pacu),0303,03038,030389
03038990,0303.89.90,outros,0303,03038,030389
03039100,0303.91.00,fígados,0303,03039,030391
03039200,0303.92.00,barbatanas de tubarão,0303,03039,030392
03039910,0303.99.10,cabeças de merluza negra (dissostichus eleginoides),0303,03039,030399
03039920,0303.99.20,cabeças de merluza antártica (dissostichus mawsoni),0303,03039,030399
03039990,0303.99.90,outros,0303,03039,030399
03043100,0304.31.00,tilápias (oreochromis spp.),0304,03043,030431
03043210,0304.32.10,bagre americano (ictalurus punctatus),0304,03043,030432
03043290,0304.32.90,outros,0304,03043,030432
03043300,0304.33.00,percadonilo (lates niloticus),0304,03043,030433
03043900,0304.39.00,outros,0304,03043,030439
03044100,0304.41.00,salmõesdopacífico (oncorhynchus nerka,0304,03044,030441
03044200,0304.42.00,trutas (salmo trutta,0304,03044,030442
03044300,0304.43.00,peixes chatos (pleuronectidae,0304,03044,030443
03044400,0304.44.00,peixes das famílias bregmacerotidae,0304,03044,030444
03044500,0304.45.00,espadarte (xiphias gladius),0304,03044,030445
03044600,0304.46.00,merluza negra e merluza antártica (marlongas*) (dissostichus spp.),0304,03044,030446
03044700,0304.47.00,cação e outros tubarões,0304,03044,030447
03044800,0304.48.00,raias (rajidae),0304,03044,030448
03044910,0304.49.10,chernepoveiro (polyprion americanus),0304,03044,030449
03044920,0304.49.20,garoupas (acanthistius spp.),0304,03044,030449
03044990,0304.49.90,outros,0304,03044,030449
03045100,0304.51.00,tilápias (oreochromis spp.),0304,03045,030451
03045200,0304.52.00,salmonídeos,0304,03045,030452
03045300,0304.53.00,peixes das famílias bregmacerotidae,0304,03045,030453
03045400,0304.54.00,espadarte (xiphias gladius),0304,03045,030454
03045500,0304.55.00,merluza negra e merluza antártica (marlongas*) (dissostichus spp.),0304,03045,030455
03045600,0304.56.00,cação e outros tubarões,0304,03045,030456
03045700,0304.57.00,raias (rajidae),0304,03045,030457
03045900,0304.59.00,outros,0304,03045,030459
03046100,0304.61.00,tilápias (oreochromis spp.),0304,03046,030461
03046210,0304.62.10,bagre americano (ictalurus punctatus),0304,03046,030462
03046290,0304.62.90,outros,0304,03046,030462
03046300,0304.63.00,percadonilo (lates niloticus),0304,03046,030463
03046900,0304.69.00,outros,0304,03046,030469
03047100,0304.71.00,bacalhaudoatlântico (gadus morhua),0304,03047,030471
03047200,0304.72.00,haddock ou lubina (arinca*) (melanogrammus aeglefinus),0304,03047,030472
03047300,0304.73.00,saithe (escamudo*) (pollachius virens),0304,03047,030473
03047400,0304.74.00,merluzas (pescadas*) e abróteas (merluccius spp.,0304,03047,030474
03047500,0304.75.00,polacadoalasca (escamudodoalasca*) (theragra chalcogramma),0304,03047,030475
03047900,0304.79.00,outros,0304,03047,030479
03048100,0304.81.00,salmõesdopacífico (oncorhynchus nerka,0304,03048,030481
03048200,0304.82.00,trutas (salmo trutta,0304,03048,030482
03048300,0304.83.00,peixes chatos (pleuronectidae,0304,03048,030483
03048400,0304.84.00,espadarte (xiphias gladius),0304,03048,030484
03048510,0304.85.10,merluza negra (dissostichus eleginoides),0304,03048,030485
03048520,0304.85.20,merluza antártica (dissostichus mawsoni),0304,03048,030485
03048600,0304.86.00,arenques (clupea harengus,0304,03048,030486
03048700,0304.87.00,atuns (do gênero thunnus),0304,03048,030487
03048810,0304.88.10,tubarãoazul (prionace glauca),0304,03048,030488
03048890,0304.88.90,outros,0304,03048,030488
03048910,0304.89.10,pargo (lutjanus purpureus),0304,03048,030489
03048920,0304.89.20,chernepoveiro (polyprion americanus),0304,03048,030489
03048930,0304.89.30,garoupas (acanthistius spp.),0304,03048,030489
03048990,0304.89.90,outros,0304,03048,030489
03049100,0304.91.00,espadarte (xiphias gladius),0304,03049,030491
03049211,0304.92.11,bochechas (cheeks),0304,03049,030492
03049212,0304.92.12,colares (collars),0304,03049,030492
03049219,0304.92.19,outros,0304,03049,030492
03049221,0304.92.21,bochechas (cheeks),0304,03049,030492
03049222,0304.92.22,colares (collars),0304,03049,030492
03049229,0304.92.29,outros,0304,03049,030492
03049300,0304.93.00,tilápias (oreochromis spp.),0304,03049,030493
03049400,0304.94.00,polacadoalasca (escamudodoalasca*) (theragra chalcogramma),0304,03049,030494
03049500,0304.95.00,peixes das famílias bregmacerotidae,0304,03049,030495
03049600,0304.96.00,cação e outros tubarões,0304,03049,030496
03049700,0304.97.00,raias (rajidae),0304,03049,030497
03049900,0304.99.00,outros,0304,03049,030499
03051000,0305.10.00,farinhas,0305,03051,030510
03052000,0305.20.00,fígados,0305,03052,030520
03053100,0305.31.00,tilápias (oreochromis spp.),0305,03053,030531
03053210,0305.32.10,bacalhaudoatlântico (gadus morhua),0305,03053,030532
03053220,0305.32.20,saithe (pollachius virens),0305,03053,030532
03053230,0305.32.30,ling (molva molva) e zarbo (brosme brosme),0305,03053,030532
03053290,0305.32.90,outros,0305,03053,030532
03053900,0305.39.00,outros,0305,03053,030539
03054100,0305.41.00,salmõesdopacífico (oncorhynchus nerka,0305,03054,030541
03054200,0305.42.00,arenques (clupea harengus,0305,03054,030542
03054300,0305.43.00,trutas (salmo trutta,0305,03054,030543
03054400,0305.44.00,tilápias (oreochromis spp.),0305,03054,030544
03054910,0305.49.10,bacalhaudoatlântico (gadus morhua),0305,03054,030549
03054920,0305.49.20,saithe (pollachius virens),0305,03054,030549
03054990,0305.49.90,outros,0305,03054,030549
03055100,0305.51.00,bacalhaudoatlântico (gadus morhua),0305,03055,030551
03055200,0305.52.00,tilápias (oreochromis spp.),0305,03055,030552
03055310,0305.53.10,bacalhau polar (boreogadus saida),0305,03055,030553
03055390,0305.53.90,outros,0305,03055,030553
03055400,0305.54.00,arenques (clupea harengus,0305,03055,030554
03055900,0305.59.00,outros,0305,03055,030559
03056100,0305.61.00,arenques (clupea harengus,0305,03056,030561
03056200,0305.62.00,bacalhaudoatlântico (gadus morhua),0305,03056,030562
03056300,0305.63.00,anchovas (biqueirões*) (engraulis spp.),0305,03056,030563
03056400,0305.64.00,tilápias (oreochromis spp.),0305,03056,030564
03056910,0305.69.10,saithe (pollachius virens),0305,03056,030569
03056990,0305.69.90,outros,0305,03056,030569
03057100,0305.71.00,barbatanas de tubarão,0305,03057,030571
03057200,0305.72.00,cabeças,0305,03057,030572
03057900,0305.79.00,outros,0305,03057,030579
03061110,0306.11.10,inteiras,0306,03061,030611
03061190,0306.11.90,outras,0306,03061,030611
03061200,0306.12.00,lavagantes (homarus spp.),0306,03061,030612
03061400,0306.14.00,caranguejos,0306,03061,030614
03061500,0306.15.00,lagosta norueguesa (lagostim*) (nephrops norvegicus),0306,03061,030615
03061610,0306.16.10,inteiros,0306,03061,030616
03061690,0306.16.90,outros,0306,03061,030616
03061710,0306.17.10,inteiros,0306,03061,030617
03061790,0306.17.90,outros,0306,03061,030617
03061910,0306.19.10,krill (euphausia superba),0306,03061,030619
03061990,0306.19.90,outros,0306,03061,030619
03063100,0306.31.00,lagostas (palinurus spp.,0306,03063,030631
03063200,0306.32.00,lavagantes (homarus spp.),0306,03063,030632
03063300,0306.33.00,caranguejos,0306,03063,030633
03063400,0306.34.00,lagosta norueguesa (lagostim*) (nephrops norvegicus),0306,03063,030634
03063500,0306.35.00,camarões de água fria (pandalus spp.,0306,03063,030635
03063600,0306.36.00,outros camarões,0306,03063,030636
03063910,0306.39.10,lagosta de água doce (cherax quadricarinatus),0306,03063,030639
03063990,0306.39.90,outros,0306,03063,030639
03069100,0306.91.00,lagostas (palinurus spp.,0306,03069,030691
03069200,0306.92.00,lavagantes (homarus spp.),0306,03069,030692
03069300,0306.93.00,caranguejos,0306,03069,030693
03069400,0306.94.00,lagosta norueguesa (lagostim*) (nephrops norvegicus),0306,03069,030694
03069500,0306.95.00,camarões,0306,03069,030695
03069910,0306.99.10,lagosta de água doce (cherax quadricarinatus),0306,03069,030699
03069990,0306.99.90,outros,0306,03069,030699
03071100,0307.11.00,vivas,0307,03071,030711
03071200,0307.12.00,congeladas,0307,03071,030712
03071900,0307.19.00,outras,0307,03071,030719
03072100,0307.21.00,vivos,0307,03072,030721
03072200,0307.22.00,congelados,0307,03072,030722
03072900,0307.29.00,outros,0307,03072,030729
03073100,0307.31.00,vivos,0307,03073,030731
03073200,0307.32.00,congelados,0307,03073,030732
03073900,0307.39.00,outros,0307,03073,030739
03074200,0307.42.00,vivas,0307,03074,030742
03074310,0307.43.10,lulas,0307,03074,030743
03074320,0307.43.20,sépias,0307,03074,030743
03074900,0307.49.00,outras,0307,03074,030749
03075100,0307.51.00,vivos,0307,03075,030751
03075200,0307.52.00,congelados,0307,03075,030752
03075900,0307.59.00,outros,0307,03075,030759
03076000,0307.60.00,caracóis,0307,03076,030760
03077100,0307.71.00,vivos,0307,03077,030771
03077200,0307.72.00,congelados,0307,03077,030772
03077900,0307.79.00,outros,0307,03077,030779
03078100,0307.81.00,abalones (orelhasdomar*) (haliotis spp.) vivos,0307,03078,030781
03078200,0307.82.00,estrombos (strombus spp.) vivos,0307,03078,030782
03078300,0307.83.00,abalones (orelhasdomar*) (haliotis spp.) congelados,0307,03078,030783
03078400,0307.84.00,estrombos (strombus spp.) congelados,0307,03078,030784
03078700,0307.87.00,outros abalones (outras orelhasdomar*) (haliotis spp.),0307,03078,030787
03078800,0307.88.00,outros estrombos (strombus spp.),0307,03078,030788
03079100,0307.91.00,vivos,0307,03079,030791
03079200,0307.92.00,congelados,0307,03079,030792
03079900,0307.99.00,outros,0307,03079,030799
03081100,0308.11.00,vivos,0308,03081,030811
03081200,0308.12.00,congelados,0308,03081,030812
03081900,0308.19.00,outros,0308,03081,030819
03082100,0308.21.00,vivos,0308,03082,030821
03082200,0308.22.00,congelados,0308,03082,030822
03082900,0308.29.00,outros,0308,03082,030829
03083000,0308.30.00,medusas (águasvivas) (rhopilema spp.),0308,03083,030830
03089000,0308.90.00,outros,0308,03089,030890
04011010,0401.10.10,leite uht (ultra high temperature),0401,04011,040110
04011090,0401.10.90,outros,0401,04011,040110
04012010,0401.20.10,leite uht (ultra high temperature),0401,04012,040120
04012090,0401.20.90,outros,0401,04012,040120
04014010,0401.40.10,leite,0401,04014,040140
04014021,0401.40.21,uht (ultra high temperature),0401,04014,040140
04014029,0401.40.29,outros,0401,04014,040140
04015010,0401.50.10,leite,0401,04015,040150
04015021,0401.50.21,uht (ultra high temperature),0401,04015,040150
04015029,0401.50.29,outros,0401,04015,040150
04021010,0402.10.10,com um teor de arsênio,0402,04021,040210
04021090,0402.10.90,outros,0402,04021,040210
